编号,签订时间,名称,签订对象
1,1689-9-7,尼布楚界约,俄国
2,1727-9-1,布连斯奇界约,俄国
3,1727-10-21,恰克图界约,俄国
4,1727-10-24,阿巴哈依图界约,俄国
5,1727-11-8,色楞额界约,俄国
6,1768-10-30,修改恰克图界约第十条,俄国
7,1792-2-20,恰克图市约,俄国
8,1842-8-29,江宁条约（南京条约）,英国
9,1843-6-26,过境税声明,英国
10,1843-10-8,五口通商附粘善后条款,英国
11,1843-10-8,五口通商章程：海关税则,英国
12,1844-7-3,五口贸易章程：海关税则,美国
13,1844-10-24,五口贸易章程：海关税则,法国
14,1845-11-29,上海租地章程,英国
15,1846-4-4,英军退还舟山条约,英国
16,1847-3-20,五口通商章程：海关税则,瑞典、挪威
17,1851-8-6,伊犁塔尔巴哈台通商章程,俄国
18,1854-7-5,上海英法美租界租地章程,各国
19,1856-3-24,藏尼条约,尼泊尔
20,1858-5-28,瑷珲城和约,俄国
21,1858-6-13,天津条约,俄国
22,1858-6-18,天津条约,美国
23,1858-6-26,天津条约,英国
24,1858-6-27,天津条约,法国
25,1858-6-27,和约章程补遗,法国
26,1858-10-16,塔尔巴哈台议定赔偿条约,俄国
27,1858-11-8,通商章程善后条约：海关税则,英国
28,1858-11-24,通商章程善后条约：海关税则,法国
29,1858-11-8,通商章程善后条约：海关税则,美国
30,1858-11-8,赔偿美商民损失专约,美国
31,1859-4-1,黑龙江通商条规,俄国
32,1860-10-24,续增条约（北京条约）,英国
33,1860-10-25,续增条约（北京条约）,法国
34,1860-11-14,北京续增条约,俄国
35,1861-3-25,长江各口通商暂订章程,英国
36,1861-3-25,九江租地约,英国
37,1861-6-2,天津紫竹林法国租地条款,法国
38,1861-6-28,勘分东界约记,俄国
39,1861-9-2,通商条约,德国
40,1861-9-2,通商章程善后条约：海关税则,德国
41,1861-10-9,长江各口通商暂行章程,各国
42,1861-10-9,通商各口通共章程,各国
43,1862-3-4,陆路通商章程：续增税则,俄国
44,1862-3-4,陆路章程详细办法,俄国
45,1862-8-13,和好贸易条约,葡萄牙
46,1862-11-20,长江收税章程,各国
47,1863-7-13,天津条约,丹麦
48,1863-7-13,通商章程：海关税则,丹麦
49,1863-8-26,通商条约,比利时
50,1863-10-6,天津条约,荷兰
51,1864-3-8,陆路俄商三联单章程,俄国
52,1864-10-7,勘分西北界约记,俄国
53,1864-10-10,和好贸易条约,西班牙
54,1865-2-20,法国教堂入内地买地照会,法国
55,1865-9-1,更定法国商船完纳船钞章程,法国
56,1865-10-27,上海海关扣留案件条款,英国
57,1865-11-2,通商条约,比利时
58,1865-11-2,通商章程：海关税则,比利时
59,1866-2-8,出口土货拆动改装章程,各国
60,1866-3-5,续定招工章程条约,英法
61,1866-10-26,通商条约,意大利
62,1866-10-26,通商章程：海关税则,意大利
63,1867-4-27,客船行李免税货物拖带轮船三项章程,各国
64,1868-5-31,会讯船货入官章程,各国
65,1868-7-28,续增条约,美国
66,1868-9-2,漏报捏报罚办声明,德国
67,1868-11-3,各海口引水总章,各国
68,1868-11-16,茶末减税章程,各国
69,1868-12-28,上海洋泾浜设官会审章程,各国
70,1869-4-27,改订陆路通商章程,俄国
71,1869-5-12,钟表减税并严防偷漏章程,各国
72,1869-8-13,科布多界约,俄国
73,1869-9-2,通商条约,奥地利
74,1869-9-2,通商章程：海关税则,奥地利
75,1869-9-4,乌里雅苏台界约,俄国
76,1869-9-24,上海洋泾浜北首租界章程,各国
77,1869-10-23,新定条约,英国
78,1869-10-23,新修条约善后章程：新修税则,英国
79,1869-1-1,酬赏失事洋船章程,英国
80,1870-8-12,塔尔巴哈台界约,俄国
81,1870-1-1,洋商躲避收口船钞分别征免章程,各国
82,1871-9-13,修好条规,日本
83,1871-9-13,通商章程：海关税则,日本
84,1873-5-1,吨数章程,西班牙
85,1873-10-22,古巴华工条款,西班牙
86,1874-6-26,会议专条,秘鲁
87,1874-6-26,通商条约,秘鲁
88,1874-10-31,北京专条,日本
89,1874-1-1,轮船往来港澳章程,英国
90,1876-9-13,烟台条约,英国
91,1876-10-24,收买吴淞铁路条款,英国
92,1877-11-17,会订古巴华工条款,西班牙
93,1879-2-1,檀香山商董与官员酌议事宜,夏威夷
94,1879-10-2,伊犁条约,俄国
